,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific
24M5DC6E,Model-predictive control of mixed-mode buildings with rule extraction,Building and Environment,,"May-Ostendorp, Peter; Henze, Gregor P; Corbin, Charles D; Rajagopalan, Balaji; Felsmann, Clemens",journalArticle,2011.0,BuildingEnergyAnalysis,Operations,RuleExtraction,DataAssociationRules,Controls
2AM9MMDN,A novel methodology for knowledge discovery through mining associations between building operational data,Energy and Buildings,,"Yu, Zhun Jerry; Haghighat, Fariborz; Fung, Benjamin C M; Zhou, Liang",journalArticle,2012.0,BuildingEnergyAnalysis,AnomalyDetection,RuleExtraction,DataAssociationRules,Component
3DHHJCTB,Feature-based clustering for electricity use time series data,"Adaptive and Natural Computing Algorithms: 9th International Conference, ICANNGA 2009",International Conference on Adaptive and Natural Computing Algorithms (ICANNGA),"Räsänen, Teemu; Kolehmainen, Mikko",conferencePaper,2009.0,ElectricalEngineering,SmartMeter,Clustering,MultipleTechniques,LoadProfiling
3XRNAJ9P,Pattern recognition algorithm for determining days of the week with similar energy consumption profiles,Energy and Buildings,,"Seem, John E",journalArticle,2005.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,Hierarchical,Characterization
4FF8G4XU,A system-level fault detection and diagnosis strategy for HVAC systems involving sensor faults,Energy and Buildings,,"Wang, Shengwei; Zhou, Qiang; Xiao, Fu",journalArticle,2010.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,PCA,Subsystem
4H4QAMGA,Support vector clustering of electrical load pattern data,IEEE Transactions on Power Systems,,"Chicco, Gianfranco; Ilie, I S",journalArticle,2009.0,ElectricalEngineering,SmartMeter,Clustering,SupportVectorMachines,LoadProfiling
4RNIFXCN,Sustainable Operation and Management of Data Center Chillers Using Temporal Data Mining,Proceedings of the 15th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD 2009),ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD),"Patnaik, Debprakash; Marwah, Manish; Sharma, Ratnesh; Ramakrishnan, Naren",conferencePaper,2009.0,ComputerScience,Operations,MotifandDiscordDetection,SAX,Controls
5FEC4HEE,Data and Interfaces for Advanced Building Operations and Maintenance - RP 1633 Final Report,,,"Gayeski, Nicholas; Kleindienst, Sian; Gagne, Jaime; Werntz, Bradley; Cruz, Ryan; Samouhos, Stephen",report,2015.0,BuildingEnergyAnalysis,Operations,VisualAnalytics,EnergyInformationSystem,EnergyManagment
5V53E6UU,Low-voltage electricity customer profiling based on load data clustering,Proceedings of the 2009 International Database Engineering & Applications Symposium (IDEAS 2009),International Database Engineering & Applications Symposium (IDEAS),"Gullo, Francesco; Ponti, Giovanni; Tagarelli, Andrea; Ruffolo, Massimiliano; Labate, Diego",conferencePaper,2009.0,ComputerScience,SmartMeter,Clustering,MultipleTechniques,LoadProfiling
6M6EA2T5,Exploiting Generalized Additive Models for Diagnosing Abnormal Energy Use in Buildings,Proceedings of the 5th ACM Workshop On Embedded Systems For Energy-Efficient Buildings (Buildsys '13),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Ploennigs, Joern; Chen, Bei; Schumann, Anika; Brady, Niall",conferencePaper,2013.0,ElectricalEngineering,AnomalyDetection,NoveltyDetection,GeneralizedAdditiveModels,WholeBuilding
